date,Canada,France,Australia,China,Denmark,United Kingdom
2020-01-22,0,0,0,548,0,0
2020-01-23,0,0,0,643,0,0
2020-01-24,0,2,0,920,0,0
2020-01-25,0,3,0,1406,0,0
2020-01-26,1,3,4,2075,0,0
2020-01-27,1,3,5,2877,0,0
2020-01-28,2,4,5,5509,0,0
2020-01-29,2,5,6,6087,0,0
2020-01-30,2,5,9,8141,0,0
2020-01-31,4,5,9,9802,0,2
2020-02-01,4,6,12,11891,0,2
2020-02-02,4,6,12,16630,0,2
2020-02-03,4,6,12,19716,0,8
2020-02-04,4,6,13,23707,0,8
2020-02-05,5,6,13,27440,0,9
2020-02-06,5,6,14,30587,0,9
2020-02-07,7,6,15,34110,0,9
2020-02-08,7,11,15,36814,0,13
2020-02-09,7,11,15,39829,0,14
2020-02-10,7,11,15,42354,0,14
2020-02-11,7,11,15,44386,0,15
2020-02-12,7,11,15,44759,0,16
2020-02-13,7,11,15,59895,0,17
2020-02-14,7,11,15,66358,0,18
2020-02-15,7,12,15,68413,0,18
2020-02-16,7,12,15,70513,0,18
2020-02-17,8,12,15,72434,0,19
2020-02-18,8,12,15,74211,0,19
2020-02-19,8,12,15,74619,0,20
2020-02-20,8,12,15,75077,0,22
2020-02-21,9,12,15,75550,0,23
2020-02-22,9,12,15,77001,0,23
2020-02-23,9,12,15,77022,0,28
2020-02-24,10,12,15,77241,0,30
2020-02-25,11,14,15,77754,0,34
2020-02-26,11,18,15,78166,0,37
2020-02-27,13,38,15,78600,1,44
2020-02-28,14,57,15,78928,1,56
2020-02-29,20,100,25,79356,3,61
2020-03-01,24,130,27,79932,4,94
2020-03-02,27,191,30,80136,4,134
2020-03-03,30,204,39,80261,6,189
2020-03-04,33,288,52,80386,11,246
2020-03-05,37,380,55,80537,11,295
2020-03-06,49,656,60,80690,24,374
2020-03-07,54,959,63,80770,24,429
2020-03-08,64,1136,76,80823,37,483
2020-03-09,77,1219,91,80860,92,630
2020-03-10,79,1794,107,80887,264,889
2020-03-11,108,2293,128,80921,444,1301
2020-03-12,117,2293,128,80932,617,1790
2020-03-13,193,3681,200,80945,804,2270
2020-03-14,198,4496,250,80977,836,2634
2020-03-15,252,4532,297,81003,875,3077
2020-03-16,415,6683,377,81033,933,3692
2020-03-17,478,7715,452,81058,1025,4462
2020-03-18,657,9124,568,81102,1116,5467
2020-03-19,800,10970,681,81156,1225,6533
2020-03-20,943,12758,791,81250,1337,7791
2020-03-21,1277,14463,1071,81305,1420,9006
2020-03-22,1469,16243,1549,81435,1514,10395
2020-03-23,2088,20123,1682,81498,1572,12744
2020-03-24,2790,22622,2044,81591,1718,15126
2020-03-25,3251,25600,2364,81661,1862,17843
2020-03-26,4042,29551,2810,81782,2023,20970
2020-03-27,4682,33402,3143,81897,2200,24219
2020-03-28,5576,38105,3640,81999,2366,27062
2020-03-29,6280,40708,3984,82122,2564,29954
2020-03-30,7398,45170,4361,82198,2755,34281
2020-03-31,8527,52827,4559,82279,3039,38815
2020-04-01,9560,57749,4862,82361,3290,43789
2020-04-02,11284,59929,5116,82432,3573,48718
2020-04-03,12437,65202,5330,82511,3946,53699
2020-04-04,12978,69500,5550,82543,4269,57772
2020-04-05,15756,71412,5687,82602,4561,61422
2020-04-06,16563,75343,5797,82665,4875,66738
2020-04-07,17872,79163,5895,82718,5266,72224
2020-04-08,19141,83057,6010,82809,5597,77387
2020-04-09,20654,87366,6108,82883,5830,82293
2020-04-10,22059,91738,6215,82941,6014,86660
2020-04-11,23316,94863,6303,83014,6191,90273
2020-04-12,24299,121712,6315,83134,6369,93812
2020-04-13,25680,125394,6351,83213,6513,98017
2020-04-14,27035,130365,6415,83306,6706,102365
2020-04-15,28209,133585,6440,83356,6876,107465
2020-04-16,30809,146075,6462,83403,7074,112808
2020-04-17,32814,148084,6522,83760,7268,117798
2020-04-18,34356,148086,6568,83787,7437,122534
2020-04-19,35633,153011,6610,83805,7580,126394
2020-04-20,37658,155393,6623,83817,7711,131260
2020-04-21,39402,158168,6645,83853,7891,136035
2020-04-22,41663,155980,6652,83868,8108,141540
2020-04-23,43299,158303,6662,83884,8271,146708
2020-04-24,44919,159952,6677,83899,8408,151689
2020-04-25,46371,161644,6694,83909,8643,155453
2020-04-26,48033,162220,6714,83912,8773,158926
2020-04-27,49616,165963,6721,83918,8896,163630
2020-04-28,51150,169053,6744,83940,9049,168357
2020-04-29,52865,166543,6752,83944,9206,173807
2020-04-30,54457,167299,6766,83956,9356,178771
2020-05-01,56343,167305,6778,83959,9509,183501
2020-05-02,57926,168518,6799,83959,9605,186731
2020-05-03,60504,168925,6822,83964,9721,189708
2020-05-04,61957,169583,6847,83966,9868,193091
2020-05-05,63215,170687,6875,83968,10019,196780
2020-05-06,64694,174224,6894,83970,10136,200616
2020-05-07,66201,174918,6913,83975,10281,204387
2020-05-08,67674,176202,6918,83976,10416,207439
2020-05-09,68918,176782,6939,83990,10517,209589
2020-05-10,70091,177094,6948,84010,10627,211911
2020-05-11,71264,177547,6970,84011,10711,215500
2020-05-12,72419,178349,6980,84018,10789,218895
2020-05-13,73568,178184,6989,84024,10865,222195
2020-05-14,74781,178994,7019,84029,10911,224813
2020-05-15,75959,179630,7035,84038,10989,227334
2020-05-16,77206,179630,7044,84044,11056,229406
2020-05-17,78332,179693,7054,84054,11125,231232
2020-05-18,79411,180051,7068,84063,11166,233809
2020-05-19,80493,180933,7072,84063,11242,236867
2020-05-20,81575,181700,7081,84063,11315,239579
2020-05-21,82742,181951,7095,84063,11380,242133
2020-05-22,83947,182354,7099,84081,11428,244174
2020-05-23,85151,182694,7114,84084,11487,245682
2020-05-24,86106,182709,7114,84095,11559,247037
2020-05-25,87119,183067,7126,84102,11586,248650
2020-05-26,88090,182847,7139,84103,11627,250309
2020-05-27,88989,183038,7150,84106,11680,252118
2020-05-28,89976,186364,7165,84106,11712,253854
2020-05-29,90909,186923,7184,84123,11793,255362
2020-05-30,91681,188752,7192,84128,11833,256469
2020-05-31,92479,189009,7202,84146,11869,257539
2020-06-01,93288,189348,7221,84154,11899,258983
2020-06-02,93960,188582,7229,84161,11934,260453
2020-06-03,94641,188934,7240,84160,11971,261802
2020-06-04,95269,189701,7247,84171,12011,263040
2020-06-05,95947,190312,7252,84177,12075,264150
2020-06-06,96475,190891,7259,84186,12124,264944
2020-06-07,97178,191234,7265,84191,12148,265662
2020-06-08,97779,191445,7267,84195,12162,266756
2020-06-09,98241,191849,7274,84198,12201,267915
2020-06-10,98720,192394,7285,84209,12216,269101
2020-06-11,99159,192819,7289,84216,12235,270108
2020-06-12,99595,193546,7294,84228,12299,271162
2020-06-13,100043,194072,7320,84286,12339,272050
2020-06-14,100404,194479,7335,84335,12393,272857
2020-06-15,100763,194631,7347,84378,12417,273888
2020-06-16,101087,194975,7370,84422,12450,274971
2020-06-17,101491,195433,7391,84458,12494,275970
2020-06-18,101877,195900,7409,84494,12544,276990
2020-06-19,102314,196711,7411,84494,12591,277974
2020-06-20,102762,197352,7461,84553,12591,278640
2020-06-21,103078,197636,7474,84572,12591,279264
2020-06-22,103418,198009,7492,84624,12727,280156
2020-06-23,103767,198526,7521,84653,12761,281038
2020-06-24,104087,198607,7558,84673,12815,281815
2020-06-25,104463,198607,7595,84701,12836,282512
2020-06-26,104629,200195,7601,84725,12875,283151
2020-06-27,104878,200195,7686,84743,12875,283785
2020-06-28,105193,199476,7764,84757,12875,284192
2020-06-29,105830,201522,7834,84780,12951,284812
2020-06-30,106097,202063,7920,84785,12968,285216
2020-07-01,106288,202981,8001,84816,12994,285279
2020-07-02,106643,203640,8066,84830,13015,285285
2020-07-03,106962,204222,8260,84838,13032,285787
2020-07-04,107185,204222,8443,84857,13032,286412
2020-07-05,107394,204222,8583,84871,13033,286931
2020-07-06,107815,205597,8755,84889,13079,287290
2020-07-07,108023,206072,8886,84917,13089,287874
2020-07-08,108334,206072,9056,84950,13101,288511
2020-07-09,108656,207356,9374,84992,13117,289154
2020-07-10,108984,208015,9553,84992,13147,289678
2020-07-11,109150,208015,9797,85071,13147,290504
2020-07-12,109348,208015,9980,85117,13147,291154
2020-07-13,109984,209640,10251,85117,13238,291691
2020-07-14,110350,209640,10487,85226,13262,292931
2020-07-15,110693,210568,10810,85246,13293,293469
2020-07-16,111144,211102,11233,85327,13325,294116
2020-07-17,111559,211943,11441,85402,13374,294803
2020-07-18,111875,211943,11802,85418,13374,295632
2020-07-19,112168,211943,12069,85503,13377,296358
2020-07-20,112938,214023,12428,85622,13466,296944
2020-07-21,113473,214607,12894,85708,13506,297389
2020-07-22,113790,215605,13302,85906,13554,297952
2020-07-23,114398,216667,13595,86045,13594,298731
2020-07-24,115115,217797,13950,86202,13642,299500
2020-07-25,115470,217801,14403,86381,13643,300270
2020-07-26,115789,217801,14935,86570,13665,301020
2020-07-27,116471,220352,15303,86783,13775,301708
2020-07-28,116871,221077,15582,86990,13811,302261
2020-07-29,117357,221077,16298,87213,13868,303063
2020-07-30,117677,222469,16903,87489,13964,303910
2020-07-31,118281,225197,17280,87655,14028,304793
2020-08-01,118523,225198,17895,87827,14028,305562
2020-08-02,118768,225198,18318,87985,14028,306309
2020-08-03,118973,225198,18730,88099,14235,307251
2020-08-04,119659,228576,19445,88206,14314,307926
2020-08-05,120033,228576,19890,88328,14440,308832
2020-08-06,120387,231310,20272,88460,14586,309796
2020-08-07,120903,235207,20698,88580,14747,310696
2020-08-08,121148,235208,21084,88672,14751,311461
2020-08-09,121367,235237,21397,88793,14759,312574
2020-08-10,122053,239349,21713,88906,15135,313392
2020-08-11,122389,239355,22127,88958,15291,314542
2020-08-12,122703,244088,22358,89045,15423,315581
2020-08-13,123180,244096,22742,89144,15590,316729
2020-08-14,123605,249655,23035,89214,15758,318190
2020-08-15,123825,252965,23287,89279,15867,319232
2020-08-16,124004,252965,23558,89375,16003,320343
2020-08-17,124218,256533,23773,89441,16127,321064
2020-08-18,125084,256534,23989,89494,16246,322177
2020-08-19,125408,256534,24236,89527,16336,323008
2020-08-20,125625,256534,24407,89567,16453,324203
2020-08-21,126319,271960,24602,89616,16525,325263
2020-08-22,126560,275562,24811,89654,16637,326595
2020-08-23,126817,280459,24915,89695,16715,327643
2020-08-24,127594,282414,25053,89718,16821,328620
2020-08-25,127903,285902,25204,89752,16905,329821
2020-08-26,128380,291374,25322,89784,16962,330967
2020-08-27,128836,297485,25448,89814,17052,332509
2020-08-28,129342,304947,25547,89836,17125,333806
2020-08-29,129639,304947,25670,89863,17204,334916
2020-08-30,129888,315813,25746,89895,17316,336668
2020-08-31,130918,318986,25819,89914,17410,338083
2020-09-01,131422,323968,25923,89933,17509,339415
2020-09-02,131941,331060,26049,89953,17620,340929
2020-09-03,132527,338220,26136,89986,17800,342708
2020-09-04,133141,347267,26207,90008,17974,344686
2020-09-05,133511,347267,26278,90025,18163,346513
2020-09-06,133890,347268,26321,90058,18310,349500
2020-09-07,134295,367174,26373,90078,18540,352451
2020-09-08,135757,373718,26465,90087,18784,354932
2020-09-09,136135,383292,26524,90100,19036,357613
2020-09-10,136956,392243,26564,90127,19353,360544
2020-09-11,137676,401890,26607,90145,19646,364088
